Id,Category
apple_s_000022.png,0
apple_s_000023.png,0
apple_s_000045.png,0
apple_s_000055.png,0
apple_s_000159.png,0
apple_s_000300.png,0
apple_s_000545.png,0
cortland_s_000133.png,0
cortland_s_000648.png,0
crab_apple_s_000055.png,0
crabapple_s_000465.png,0
eating_apple_s_000297.png,0
eating_apple_s_000515.png,0
eating_apple_s_000618.png,83
eating_apple_s_000763.png,0
eating_apple_s_001302.png,0
golden_delicious_s_000134.png,0
golden_delicious_s_000135.png,0
golden_delicious_s_000138.png,0
golden_delicious_s_000273.png,0
golden_delicious_s_000362.png,83
golden_delicious_s_000475.png,0
golden_delicious_s_000564.png,0
golden_delicious_s_000713.png,0
golden_delicious_s_000981.png,0
golden_delicious_s_000984.png,0
golden_delicious_s_001242.png,0
golden_delicious_s_001548.png,0
golden_delicious_s_001768.png,0
macoun_s_000017.png,0
macoun_s_000028.png,0
macoun_s_000045.png,0
macoun_s_000049.png,0
macoun_s_000133.png,0
macoun_s_000152.png,0
macoun_s_000277.png,0
macoun_s_000479.png,0
macoun_s_000664.png,0
macoun_s_000826.png,0
macoun_s_000908.png,0
macoun_s_000973.png,0
macoun_s_001022.png,0
macoun_s_001461.png,51
mcintosh_s_000081.png,0
mcintosh_s_000091.png,0
mcintosh_s_000145.png,0
mcintosh_s_000152.png,0
mcintosh_s_000154.png,0
mcintosh_s_000255.png,0
mcintosh_s_000282.png,0
mcintosh_s_000330.png,45
mcintosh_s_000614.png,0
mcintosh_s_000692.png,57
mcintosh_s_000700.png,0
northern_spy_s_000270.png,0
northern_spy_s_000273.png,57
northern_spy_s_000311.png,0
northern_spy_s_000454.png,0
northern_spy_s_000552.png,0
northern_spy_s_000784.png,0
northern_spy_s_000793.png,0
northern_spy_s_000827.png,0
pearmain_s_000001.png,0
pearmain_s_000136.png,10
pearmain_s_000174.png,0
pearmain_s_000240.png,0
pearmain_s_000339.png,0
pearmain_s_000342.png,0
pearmain_s_000354.png,0
pearmain_s_000380.png,0
red_delicious_s_000002.png,0
red_delicious_s_000009.png,0
red_delicious_s_000011.png,0
red_delicious_s_000031.png,0
red_delicious_s_000064.png,0
red_delicious_s_000158.png,0
red_delicious_s_000183.png,0
red_delicious_s_000220.png,0
red_delicious_s_000441.png,0
red_delicious_s_000666.png,0
red_delicious_s_000667.png,0
red_delicious_s_000741.png,0
red_delicious_s_000918.png,0
red_delicious_s_001041.png,0
red_delicious_s_001144.png,0
red_delicious_s_001243.png,0
red_delicious_s_001328.png,0
red_delicious_s_001470.png,0
red_delicious_s_001498.png,0
red_delicious_s_001531.png,0
red_delicious_s_001718.png,0
red_delicious_s_001982.png,0
red_delicious_s_002040.png,0
red_delicious_s_002112.png,0
red_delicious_s_002117.png,0
red_delicious_s_002149.png,0
red_delicious_s_002226.png,0
red_delicious_s_002309.png,0
yellow_delicious_s_000174.png,0
yellow_delicious_s_000666.png,0
carassius_auratus_s_000001.png,1
carassius_auratus_s_000018.png,1
carassius_auratus_s_000019.png,1
carassius_auratus_s_000023.png,1
carassius_auratus_s_000025.png,1
carassius_auratus_s_000104.png,1
carassius_auratus_s_000234.png,32
carassius_auratus_s_000236.png,1
carassius_auratus_s_000257.png,1
carassius_auratus_s_000366.png,1
carassius_auratus_s_000423.png,1
carassius_auratus_s_000427.png,1
carassius_auratus_s_000428.png,1
carassius_auratus_s_000453.png,1
carassius_auratus_s_000644.png,1
carassius_auratus_s_000647.png,1
carassius_auratus_s_000810.png,1
cichlid_fish_s_000032.png,1
cichlid_fish_s_000036.png,1
cichlid_fish_s_000045.png,1
cichlid_fish_s_000065.png,1
cichlid_fish_s_000257.png,1
cichlid_fish_s_000270.png,1
cichlid_fish_s_000286.png,1
cichlid_fish_s_000289.png,1
cichlid_fish_s_000301.png,1
cichlid_fish_s_000371.png,1
cichlid_fish_s_000376.png,1
cichlid_fish_s_000628.png,24
cichlid_fish_s_000651.png,1
cichlid_fish_s_000750.png,44
cichlid_fish_s_000751.png,1
cichlid_fish_s_000855.png,1
cichlid_fish_s_000888.png,1
cichlid_fish_s_000974.png,1
cichlid_fish_s_001002.png,1
cichlid_fish_s_001144.png,1
cichlid_fish_s_001433.png,1
cichlid_fish_s_001639.png,1
cichlid_s_000032.png,1
cichlid_s_000047.png,1
cichlid_s_000078.png,39
cichlid_s_000082.png,1
cichlid_s_000133.png,1
cichlid_s_000138.png,1
cichlid_s_000242.png,18
cichlid_s_000260.png,1
cichlid_s_000362.png,1
cichlid_s_000424.png,1
cichlid_s_000478.png,1
cichlid_s_000533.png,1
cichlid_s_000613.png,1
cichlid_s_000644.png,1
cichlid_s_000645.png,1
cichlid_s_000697.png,1
cichlid_s_000766.png,1
cichlid_s_000775.png,1
cichlid_s_000893.png,1
cichlid_s_001053.png,93
cichlid_s_001055.png,1
cichlid_s_001244.png,1
cichlid_s_001290.png,1
cichlid_s_001397.png,1
cichlid_s_001555.png,1
cichlid_s_001560.png,1
cichlid_s_001598.png,1
cichlid_s_001622.png,91
cichlid_s_001628.png,57
cichlid_s_001657.png,1
cichlid_s_001741.png,10
cichlid_s_001747.png,1
cichlid_s_001755.png,1
cichlid_s_001792.png,51
cichlid_s_001803.png,1
cichlid_s_002043.png,1
cichlid_s_002074.png,1
cichlid_s_002076.png,1
cichlid_s_002150.png,1
cichlid_s_002396.png,1
cichlid_s_002406.png,1
goldfish_s_000009.png,1
goldfish_s_000074.png,1
goldfish_s_000168.png,1
goldfish_s_000861.png,1
goldfish_s_000902.png,1
goldfish_s_000937.png,1
goldfish_s_000958.png,62
goldfish_s_001181.png,1
goldfish_s_001356.png,1
goldfish_s_001454.png,1
goldfish_s_001562.png,1
goldfish_s_001634.png,1
goldfish_s_001919.png,1
